item_id,square_catalog_id,sku,item_name,brand,category,subcategory,era_decade,size,measurements,condition_rating,condition_notes,material,color_primary,color_secondary,pattern,cost_price,selling_price,suggested_retail_price,source,acquisition_date,acquisition_location,is_one_of_a_kind,weight_grams,photo_urls,tags,status
1,sq_item_001,VIN0001,Fuchsia Mini Dress,Unknown,dresses,mini_dress,1970s,size_6,"{""chest"": ""37\"""", ""waist"": ""30\"""", ""length"": ""24\""""}",5,,silk,yellow,white,stripes,16.86,54.74,65.69,online_marketplace,2023-09-11,New Lindachester,True,388,['https://example.com/photos/item_1_0.jpg'],['statement_piece'],sold
2,sq_item_002,VIN0002,Ivory Cardigan,Unknown,jackets,cardigan,1980s,size_6,"{""chest"": ""35\"""", ""waist"": ""36\"""", ""length"": ""25\""""}",4,,linen,green,,solid,23.62,108.56,130.27,online_marketplace,2024-06-01,Johnmouth,True,1036,"['https://example.com/photos/item_2_0.jpg', 'https://example.com/photos/item_2_1.jpg']",['retro'],sold
3,sq_item_003,VIN0003,LightPink Jeans,H&M,bottoms,jeans,1980s,size_12,"{""chest"": ""32\"""", ""waist"": ""25\"""", ""length"": ""33\""""}",3,Nemo blanditiis perferendis amet.,denim,pink,,polka_dot,8.79,30.63,36.76,estate_sale,2024-08-06,Port Zachary,True,1250,"['https://example.com/photos/item_3_0.jpg', 'https://example.com/photos/item_3_1.jpg']","['retro', 'statement_piece']",available
4,sq_item_004,VIN0004,Brown Cocktail Dress,Local Designer,dresses,cocktail_dress,1990s,S,"{""chest"": ""34\"""", ""waist"": ""25\"""", ""length"": ""32\""""}",4,,denim,red,brown,polka_dot,42.82,183.84,220.61,donation,2023-02-11,Jonesmouth,True,192,['https://example.com/photos/item_4_0.jpg'],['classic'],sold
5,sq_item_005,VIN0005,LightSkyBlue Shorts,Vintage Levi's,bottoms,shorts,Y2K,size_6,"{""chest"": ""34\"""", ""waist"": ""30\"""", ""length"": ""39\""""}",5,Eveniet mollitia ab dicta natus.,denim,brown,,geometric,43.95,107.54,129.05,online_marketplace,2024-12-26,Jodibury,True,1252,"['https://example.com/photos/item_5_0.jpg', 'https://example.com/photos/item_5_1.jpg', 'https://example.com/photos/item_5_2.jpg']","['bohemian', 'statement_piece']",available
6,sq_item_006,VIN0006,SandyBrown Jeans,Forever 21,bottoms,jeans,1990s,XS,"{""chest"": ""41\"""", ""waist"": ""31\"""", ""length"": ""28\""""}",5,,polyester,black,,floral,78.49,294.42,353.3,donation,2024-10-06,Brittanyfort,True,1576,"['https://example.com/photos/item_6_0.jpg', 'https://example.com/photos/item_6_1.jpg', 'https://example.com/photos/item_6_2.jpg', 'https://example.com/photos/item_6_3.jpg']",['classic'],available
7,sq_item_007,VIN0007,Gray Blouse,Unknown,tops,blouse,1980s,size_8,"{""chest"": ""35\"""", ""waist"": ""30\"""", ""length"": ""36\""""}",5,,cotton,red,,geometric,47.94,196.63,235.96,consignment,2024-11-09,East Adam,True,1079,"['https://example.com/photos/item_7_0.jpg', 'https://example.com/photos/item_7_1.jpg', 'https://example.com/photos/item_7_2.jpg', 'https://example.com/photos/item_7_3.jpg']","['festival', 'vintage']",sold
8,sq_item_008,VIN0008,PaleTurquoise Jewelry,H&M,accessories,jewelry,1990s,XL,"{""chest"": ""41\"""", ""waist"": ""31\"""", ""length"": ""26\""""}",5,Doloremque expedita saepe.,leather,blue,,stripes,45.97,185.15,222.18,consignment,2024-12-22,West Aaronfurt,True,524,"['https://example.com/photos/item_8_0.jpg', 'https://example.com/photos/item_8_1.jpg', 'https://example.com/photos/item_8_2.jpg', 'https://example.com/photos/item_8_3.jpg']","['vintage', 'statement_piece']",available
9,sq_item_009,VIN0009,Linen Jewelry,Banana Republic,accessories,jewelry,1980s,size_6,"{""chest"": ""34\"""", ""waist"": ""28\"""", ""length"": ""21\""""}",4,,denim,purple,,animal_print,26.58,98.89,118.67,online_marketplace,2023-08-08,East Alyssabury,True,513,"['https://example.com/photos/item_9_0.jpg', 'https://example.com/photos/item_9_1.jpg', 'https://example.com/photos/item_9_2.jpg']","['classic', 'statement_piece', 'festival']",sold
10,sq_item_010,VIN0010,PeachPuff Midi Dress,Zara,dresses,midi_dress,1960s,size_8,"{""chest"": ""37\"""", ""waist"": ""35\"""", ""length"": ""35\""""}",3,,cotton,brown,,floral,23.18,92.94,111.53,online_marketplace,2024-10-30,Woodwardberg,True,1903,"['https://example.com/photos/item_10_0.jpg', 'https://example.com/photos/item_10_1.jpg', 'https://example.com/photos/item_10_2.jpg', 'https://example.com/photos/item_10_3.jpg']","['classic', 'festival']",sold
11,sq_item_011,VIN0011,LightSeaGreen Pants,H&M,bottoms,pants,1970s,XS,"{""chest"": ""34\"""", ""waist"": ""30\"""", ""length"": ""48\""""}",5,,cotton,pink,,floral,26.41,57.51,69.01,consignment,2023-02-08,North Samanthahaven,True,118,"['https://example.com/photos/item_11_0.jpg', 'https://example.com/photos/item_11_1.jpg', 'https://example.com/photos/item_11_2.jpg']","['retro', 'bohemian', 'statement_piece']",available
12,sq_item_012,VIN0012,PaleVioletRed Shorts,J.Crew,bottoms,shorts,1990s,size_10,"{""chest"": ""36\"""", ""waist"": ""27\"""", ""length"": ""45\""""}",3,Itaque quibusdam neque magnam odio hic.,linen,green,,solid,79.18,287.42,344.9,consignment,2023-10-30,South Elaineberg,True,1262,"['https://example.com/photos/item_12_0.jpg', 'https://example.com/photos/item_12_1.jpg']",['retro'],sold
